Account,Balance,Status,Notes
100021,10450000,Active,Irregular
100034,8250494,Pending,Corrupted data
100077,3930490,Closed,
100099,839729,Closed,
100005,1222210,Closed,
100007,227927,Active,Irregular
100020,129837,Pending,
100098,0,Active,
100475,5750000,Pending,Masked key field
273956,4809090,Active,
123908,275886,Active,
125803,695450,Closed,
353958,57941,Closed,
135782,212598,Closed,
100782,10450000,Active,
100002,8250494,Active,
100538,3930490,Pending,
392792,839729,Closes,Possible tampering
100021,1222210,Pending,
100034,227927,Active,
100077,129837,Active,
100099,0,Closed,Irregular
100005,5750000,Active,Suspicious value
100007,4809090,Pending,
100020,275886,Active,
100098,695450,Pending,
100475,57941,Closed,
273956,212598,Closed,Corrupted formula
123908,85420,Closed,
125803,89151,Active,
353958,898271,Active,
135782,9098639,Pending,
100782,98978,Active,
100002,29867,Active,
100538,4809090,Pending,Hidden code suspected
392792,275886,U1VHQVJCT1hfS0VZPVZBTFlE,
100021,695450,Active,
100034,57941,Active,
100077,212598,Pending,
100099,85420,Closed,
100005,89151,Closed,
100007,898271,Closed,
100020,9098639,Active,
100098,98978,Active,
100475,29867,Pending,
273956,999999,Active,
123908,879799,Active,
125803,5750000,Pending,
353958,4809090,Active,
135782,275886,Active,
100782,695450,Pending,
100002,57941,Active,
100538,212598,Pending,
392792,465709,Active,
